code,name,categoryCode,abbrevation
1101001,Dato Setia Sultan Mizan Zainal Abidin Terengganu,01,D.S.M.Z
1101002,Dato' Paduka Mahkota Terengganu,01,D.P.M.T
1101003,Setia Sultan Mizan Zainal Abidin Terengganu,02,S.M.Z
1101004,Ahli Setia Sultan Mahmud Terengganu,02,A.S.M
1101005,Setia Mahkota Terengganu,02,S.M.T
1101006,Ahli Sultan Mizan Zainal Abidin Terengganu,02,A.M.Z
1101007,Ahli Mahkota Terengganu,02,A.M.T
1101008,Pangkat Jaksa Pendamai,02,J.P
1101009,Pingat Jasa Cemerlang,02,P.J.C
1101010,Pingat Jasa Kebaktian,02,P.J.K
1101011,Pingat Bintang Lama Berjawatan,02,B.L.B
1101012,Pingat Lama Berjawatan,02,P.L.B
1201001,Seri Panglima Darjah Kinabalu (S.P.D.K),01,S.P.D.K
1201002,Panglima Gemilang Darjah Kinabalu (P.G.D.K)   ,01,P.G.D.K
1201003,Ahli Darjah Kinabalu (A.D.K. ),02,A.D.K.
1201004, Bintang Setia Kinabalu (B.S.K.),02,B.S.K.
1201005,"Ahli Setia Darjah Kinabalu (A.S.D.K.)",02,A.S.D.K.
1201006,"Bintang Kinabalu (B.K.)",02,B.K.
1201007,Sijil Kehormatan (S.K.),02,S.K.
1201008,Jaksa Pendamai (J.P.) ,02,J.P.
1301001,Panglima Negara Bintang Sarawak,01,P.N.B.S
1301002,Johan Bintang Sarawak,02,J.B.S
1301003,Pegawai Bintang Sarawak,02,P.B.S
1301004,Ahli Bintang Sarawak,02,A.B.S
1301005,Bentara Bintang Sarawak,02,B.B.S
1301006,Panglima Gemilang Bintang Kenyalang,01,P.G.B.K
1301007,Johan Bintang Kenyalang,02,J.B.K
1301008,Pegawai Bintang Kenyalang,02,P.B.K
1301009,Ahli Bintang Kenyalang,02,A.B.K
1301010,Darjah Jasa Bakti Sarawak,01,D.J.B.S
1301011,Pingat Perkhidmatan Cemerlang (Emas),02,
1301012,Pingat Perkhidmatan Bakti (Perak),02,
1301013,Pingat Perkhidmatan Terpuji (Gangsa),02,
1301014,Pegawai Bintang Sarawak (Honorary),02,P.B.S
1301015,Datuk Amar Bintang Kenyalang,01,D.A.B.K
1301016,"Pingat Perkhidmatan Setia ",02,S.P.S.
1301017,Pingat Perkhidmatan Bakti (Honorary),02,
1301018,Anugerah Biasiswa,04,
1301019,Pingat Jubli Perak,02,P.P.D. (E)
1301020,Pingat Peringatan Delima (Perak),02,
1301021,Pingat Peingatan Delima (Gangsa),02,P.P.D.(G)
1301022,Panglima Setia Bintang Sarawak,01,P.S.B.S
1301023,Pingat Perkhidmatan Am,04,
1301024,Panglima Nederi Bintang Sarawak,03,P.N.B.S
1301025,Pingat Keberanian,02,
1301026,Seri Setia Sultan Mahmud Terengganu (Peringkat Pertama),03,S.S.M.T
1301027,Pingat Perkhidmatan Am (Tentera),04,
1301028,Pingat Ibrahim Sultan Johor (Emas),02,P.I.S
1301029,Pahlawan Angkatan Tentera,02,
1401001,Darjah Utama Seri Mahkota Negara,02,D.M.N
1401002,Seri Maharaja Mangku Negara,01,S.M.N
1401003,Seri Setia Mahkota Malaysia,01,S.S.M
1401004,Panglima Mangku Negara,01,P.M.N
1401005,Panglima Setia Mahkota,01,P.S.M
1401006,Panglima Jasa Negara,01,P.J.N
1401007,Panglima Setia Diraja,01,P.S.D
1401008,Johan Mangku Negara,02,J.M.N
1401009,Johan Setia Mahkota,02,J.S.M
1401010,Jasa Setia DiRaja,02,J.S.D
1401011,Kesatria Mangku Negara,02,KMN
1401012,Kesatria Setia Diraja,02,K.S.D
1401013,Ahli Mangku Negara,02,A.M.N
1401014,Pingat Pangkuan Negara,02,P.P.N
1401015,Bentara Setia Diraja,02,B.S.D
1401016,Panglima Gagah Berani,02,P.G.B
1401017,Jasa Perkasa Persekutuan,02,J.P.P
1401018,Kepujian Perutusan Keberanian,02,K.P.K
1401019,Seri Pahlawan Gagah Perkasa,02,S.P
1401020,Pingat Kebaktian,02,P.K
1401021,Pingat Perkhidmatan Am,02,P.P.A
1401022,Pingat Negara Perkhidmatan Bangsa-Bangsa Bersatu,02,P.N.B.B
1401023,Darjah Kerabat Diraja Malaysia,02,D.K.M
1401026,Darjah Bakti,02,D.B
1401027,Pingat Tentera Udara,02,
1401028,Pingat Khidmat Bakti,02,
1401029,Pingat Perkhidmatan Setia,02,
1401030,Pingat Peringatan Malaysia,02,P.P.M
1401031,Pingat Setia Mahkota,02,P.S.M
1401032,Pingat Pekerti Terpilih,02,P.P.T
1401033,Jaksa Pengaman,02,J.P
1401034,Pingat Perkhidmatan Cemerlang Masyarakat,02,P.P.C.M
1401035,Seri Mahkota Wilayah,01,S.M.W
1401036,Panglima Mahkota Wilayah,01,P.M.W
1401037,Johan Mahkota Wilayah,02,J.M.W
1401038,Kesatria Mahkota Wilayah,02,K.M.W
1401039,Ahli Mahkota Wilayah,02,A.M.W
1401040, Pingat Pangkuan Mahkota Wilayah ,02,P.P.W
1401041,Pingat Pertabalan Yang di-Pertuan Agong,02,
1401042,Darjah Pahlawan Pasukan Polis,02,
1401043,Pingat Perkhidmatan Cemerlang,04,PPC
1401044,Panglima Setia Angkatan Tentera,02,PSAT
1401045,Pingat Kedaulatan Negara,02,P.K.N
1401046,Seri Utama Mahkota Wilayah,01,S.U.M.W
2000001,Sijil Kecemerlangan Peserta Terbaik Kursus  Pra-Gred M2,04,
2000002,Sijil Kepujian Bagi Kumpulan A,04,
2000003,Sijil Penghargaan,04,
2000004,Anugerah 25 Tahun Berkhidmat,04,
2000005,Anugerah Khidmat Cemerlang (Melintang),04,
2000006,Anugerah Khidmat Cemerlang (Menegak),04,
2000007,Anugerah Kualiti,04,
2000008,Anugerah Khidmat Terpuji,04,
2000009,Pekerja Terbaik,04,
2000010,Tokoh Perkhidmatan Cemerlang,04,
2000011,Anugerah Ketua Setiausaha Negara (Peserta Terbaik Kursus),04,
2000012,Sijil Anugerah Sumbangan Bakti,04,
2000013,Surat Penghargaan,04,
2000014,Anugerah Perkhidmatan Cemerlang (APC),04,
2000015,Anugerah Ketua Pengarah,04,AKP
2000016,Anugerah Kecemerlangan Sains ,02,
2000017,Anugerah Saintis Muda Negara ,02,
2000018,Anugerah Maulidur Rasul ,02,
2000019,Anugerah Tokoh Pekerja Lelaki,02,
2000020,Anugerah Perkhidmatan Setia ,03,
2000021,Sijil Kepujian ,03,
2000022,Anugerah Perdana Menteri,04,
2000023,Anugerah Ketua Pengarah Perkhidmatan Awam,04,
2000024,Anugerah Khas PPTD bagi Diploma Pengurusan Awam,04,
2000025,Anugerah Mutiara Perbendaharaan,04,
2000026,Anugerah Citra Perbendaharaan,04,
2000027,Anugerah Peserta Cemerlang Keseluruhan (Akademik),05,
2000028,Anugerah Perkhidmatan Cemerlang Bulanan ,04,
2000029,Tawaran Baru Guru Besar (TBGB),02,
2000030,Penganugerahan Khas Khidmat Cemerlang,04,
2000031,Anugerah Pengarah,04,
2000032,Anugerah Ketua Jabatan,04,
2000033,Anugerah Ketua Bahagian/Organisasi,04,
2000034,Anugerah Kumpulan Inovatif dan Kreatif (KIK),04,
2000035,Pingat Perkhidmatan Cemerlang (P.P.C.),03,P.P.C.
2000036,Anugerah Inovasi Bahagian/Organisasi ,04,
2000037,Sijil Prestasi Cemerlang,04,
2000038,Anugerah Guru Cemerlang,04,
2000039,Anugerah Penyelidikan Terbaik,05,
2000040,Anugerah Pegawai Berketerampilan,04,
2000041,Pingat Cemerlang Bomba,04,
2000042,Pingat Am Pertahanan Awam,04,P.A.P
2000043,Anugerah Tokoh Mentor Perkhidmatan Awam,04,
3000001,Pingat Bakti Belia (P.B.B),02,P.B.B
3000002,Anugerah "Wilton R. Earle Award" ,02,
3000003,Best Candidate Award (JPA-BMCC Mgmt Development Programme),99,JPA-BMCC
3000004,"Pingat Jasa Terpuji",02,
3000005,Best Science Teacher in Southeast Asia 2016,99,
3000006,Young Surveyor of the Year,02,
4000001,Anugerah "The Outstanding Young Malaysian" ,02,
4000002,Associate ASEAN Engineer,01,AAE
5000001,Sijil Dekan,05,
5000002,Sijil Pengarah,05,
5000003,Doktor Persuratan (Dr.),05,
5000004,Research Excellence Award,05,
5000005,Anugerah Dato' Seri Dr. Salleh Mohd Nor,02,
5000006,Anugerah Pelajar Terbaik,05,
5000007,Nippon Oil Best Second Year Applied Geology,99,
6000001,Pingat Bintang Kehormat Persatuan Pandu Puteri Malaysia,02,BKPPPM
9999001,"Commander of Royal Order of Sahametrei ""AMITIE"" (CAMBODIA)",02,
9999002,Order of Sikatuna (FILIPINA),02,
9999003,Order of the Grand Cross [ 1st Class ] (PERU),02,
9999004,Anugerah Penghargaan,02,
9999005,Anugerah Penghargaan ( Kelab Kaunselor Tashkent ),02,
9999006,Blue Cross Award ( Brazil ),02,
9999007,Commander of the National Order of the Lion ( Senegal ),02,
9999008,Commander of the Order of Bernade O'Higgins ( Chile ),02,
9999009,Consul General of the Year 1992,02,
9999010,Coslam ( Anggota Konfernsi Melayu Sri Lanka ),02,
9999011,Diploma Kelab Kaunselor Tahskent (Counsellors Tashkent Club),02,
9999012,Diploma The Grand Master of The Rio Branco Order ( Brazil ),02,
9999013,Grand Cross of the National Order of Cruzeiro Do Sul ,02,
9999014,"JICA, Tashkent [ Ketua Pusat Uzbekjapan (JICA), Tashkent ]",02,
9999015,Kepimpinan KSN ( Intan Bukit Kiara ),04,
9999016,Mattra Corp Bhd [Malaysian Transnational (MATTRA) Corp. Bhd],02,
9999017,Medal of Friendship [Malaysian Transnational (MATTRA) Corp,02,
9999018,Pingat Jubilee Perak ( Brunei ),02,
9999019,"Sijil Kursus Kenegaraan Sistem Saraan Malaysia PTK 1,812",04,
9999020,Sijil Penghargaan ( Association of Business Incubators and ,02,
9999021,Speech Drafting Workshop For Wisma Putra Officers,04,
9999022,"The Order of the Sacred Treasure, Gold Rays with Neck Ribbon",02,
9999023,Writing and Communication ( Embassy of Malaysia Tashkent ),02,
9999024,Anugerah Khas Kepimpinan Puspanita ,02,
9999025,The Order of Sacred Treasure Gold and Silver Ray,02,
9999026,Anugerah HRMIS,99,
9999027,Mejar (Kehormat) Angkatan Sukarela Persekutuan,02,
9999028,Kolonel (Kehormat) Angkatan Sukarela Persekutuan,02,
9999029,"Anugerah PUSPANITA Kebangsaan",04,
9999030,Pingat Perkhidmatan Setia (PPS),04,
9999031,Pingat Perkhidmatan Am (PPA),04,
9999032,Pingat Johan Bakti Setia (JBS),04,
9999033,Pingat Komisioner Jeneral Penjara (Kelas Pertama),04,
9999034,Pingat Komisioner Jeneral Penjara (Kelas Kedua),04,
9999035,Pingat Jasa Penjara (PJP),04,
9999036,Pingat Setia Penjara (PSP),04,
9999037,Pingat Cemerlang Penjara (PCP),04,
9999038,Pingat Pekerti Penjara (PPP),04,
9999039,Pingat Bakti Penjara (PBP),04,
9999040,Pingat Am Penjara (PAP),04,
9999041,Sijil Kepujian Tertinggi (Riben Merah),04,
9999042,Sijil Kepujian (Riben Hijau),04,
9999043,Sijil Penghargaan,04,
P009,Pingat Jasa Cemerlang,02,P.J.C
S006,Sijil Dekan,05,
